Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
9954,spam,spam,2.7,1.374
3341,spanish,spanish,5.82,12.567
3680,spare,spare,5.74,15.093
1868,spark,spark,6.26,16.637
507,sparkle,sparkle,7.08,16.181
1059,sparks,sparks,6.64,13.056
3531,spatial,spatial,5.77,11.713
3034,speak,speak,5.9,12.164
3946,speaker,speaker,5.68,9.988
4147,speakers,speakers,5.64,14.251
3103,speaking,speaking,5.88,11.183
3947,speaks,speaks,5.68,11.856
416,special,special,7.2,11.952
2396,specialist,specialist,6.08,15.365
2738,specialized,specialized,5.98,13.323
1126,specialty,specialty,6.6,12.454
3601,species,species,5.76,9.806
4319,specific,specific,5.6,9.689
4834,specifically,specifically,5.5,11.112
5920,specified,specified,5.28,12.972
6749,specimen,specimen,5.09,14.719
6835,specimens,specimens,5.08,14.961
3757,spectrum,spectrum,5.72,14.574
6921,speculation,speculation,5.06,14.765
5696,speech,speech,5.32,17.548
1930,speed,speed,6.24,14.786
4320,spell,spell,5.6,14.142
5245,spencer,spencer,5.42,14.721
7020,spend,spend,5.04,17.838
6088,spending,spending,5.24,16.107
8143,spent,spent,4.76,1.546
3699,sphere,sphere,5.73,10.758
2113,spice,spice,6.18,17.225
8908,spider,spider,4.28,20.004
8691,spill,spill,4.47,16.845
4148,spin,spin,5.64,13.962
7605,spinal,spinal,4.92,14.838
6394,spine,spine,5.16,12.804
4973,spinning,spinning,5.47,14.157
5361,spins,spins,5.39,14.694
1127,spirit,spirit,6.6,14.983
1882,spirits,spirits,6.24,17.973
935,spiritual,spiritual,6.72,19.487
9741,spit,spit,3.14,14.144
9501,spite,spite,3.53,18.269
9137,spittin,spittin,4.04,20.098
63,splendid,splendid,7.86,1.457
8926,split,split,4.26,14.957
3425,spoke,spoke,5.8,9.035
3948,spoken,spoken,5.68,13.161
6922,spokesman,spokesman,5.06,11.678
3681,spokeswoman,spokeswoman,5.74,1.192
2656,sponsor,sponsor,6,14.142
