Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8133,pulled,pulled,4.76,11.528
8309,pullin,pullin,4.7,14.178
8824,pulling,pulling,4.36,13.962
5034,pulls,pulls,5.46,11.466
8250,pulmonary,pulmonary,4.72,13.856
2884,pulse,pulse,5.94,13.311
6568,pum,pum,5.12,11.481
6166,pump,pump,5.22,10.746
3413,pumped,pumped,5.8,15.908
3174,pumping,pumping,5.86,13.704
1352,pumpkin,pumpkin,6.48,17.407
3111,pun,pun,5.88,17.159
9456,punch,punch,3.58,17.967
10175,punishment,punishment,2,13.401
8395,punk,punk,4.66,15.201
9190,punks,punks,3.98,19.742
2819,pupil,pupil,5.96,13.838
3620,pupils,pupils,5.76,14.935
3049,puppet,puppet,5.9,17.588
149,puppy,puppy,7.58,14.581
1663,purchase,purchase,6.34,10.224
1560,purchased,purchased,6.38,12.271
712,pure,pure,6.88,13.498
1529,purely,purely,6.39,14.835
2513,purple,purple,6.04,15.248
2514,purpose,purpose,6.04,11.599
4135,purposes,purposes,5.64,14.535
3938,pursue,pursue,5.68,14.769
7207,pursued,pursued,5,18.183
4417,pursuit,pursuit,5.58,17.853
8731,push,push,4.44,1.473
9088,pushed,pushed,4.1,14.743
7568,pushin,pushin,4.92,14.961
9047,pushing,pushing,4.14,1.325
8019,pussy,pussy,4.8,2.665
7008,put,put,5.04,9.681
6723,puts,puts,5.1,6.468
7602,puttin,puttin,4.92,1.077
5331,putting,putting,5.4,1.088
8974,python,python,4.22,1.799
